soil,land,road,water,elec,area,elevation,discharge,schools,hospitals,hotels,flood_risk,env_risk,access_risk,infra_risk,overall_risk,suitability,btype
Loamy,Commercial,49.877568417836365,1,1,9581.097008981245,423.16740915539646,3480.383128838193,0,1,1,54.14056334621712,15,16.870719303606066,10,27.91687699707751,72.08312300292249,Shopping Complex
Rocky,Commercial,25.80735839408927,1,1,9264.22302067312,807.4158593172451,2546.371458812167,4,1,1,47.54816040147768,55,56.98773600985121,10,41.63879014297999,58.36120985702001,Shopping Complex
Sandy,Residential,9.86183319307171,0,1,3127.4864392528725,267.4398924548285,2085.1997948461626,0,2,3,67.48814815444236,25,83.56361134488048,45,59.51175469027494,40.48824530972506,Individual House
Clayey,Residential,23.82240386283975,0,0,3679.944114746963,1361.7998005991374,4974.470966483729,4,2,3,66.04439903429007,30,60.295993561933756,85,63.93953805248496,36.06046194751504,Individual House
Red Soil,Commercial,58.97608338327041,1,1,16600.492971490152,971.392676419523,738.2021392627946,2,0,2,20.02002193943829,20,1.7065276945493224,10,12.933639602440731,87.06636039755927,Hospital/Clinic
Rocky,Industrial,39.63259773925616,1,0,17831.772013863145,716.8244919479848,2963.639896199303,0,1,0,44.09185056518596,55,33.94567043457306,45,43.41856530645835,56.58143469354165,Factory
Rocky,Agricultural,27.888852052338677,0,0,5458.987124819754,1222.0526385999817,4429.315130378302,2,1,2,47.02778698691533,55,53.51857991276887,85,59.33937042361258,40.66062957638742,Individual House
Clayey,Agricultural,14.15961824234985,1,1,3155.749528970612,676.3292871976556,3436.075205905574,2,1,3,68.46009543941254,30,76.40063626275025,10,50.06119246948195,49.93880753051805,Individual House
Red Soil,Residential,59.23972385060321,1,1,2014.9167667557015,837.9795178950143,4404.6164954411925,1,2,3,45.1900690373492,20,1.2671269156613079,10,21.633305891987547,78.36669410801245,Individual House
Sandy,Industrial,50.14669550947208,1,1,12557.65466109604,4.126493330881498,1681.673601773363,4,0,2,66.84920855824636,25,16.42217415087987,10,33.7527665331062,66.2472334668938,Factory
Black Cotton,Commercial,20.481251634800564,0,0,14591.711037503906,548.5507952926104,1359.964881301196,3,2,2,60.07898471732378,40,65.86458060866573,85,64.74378980322976,35.25621019677024,Shopping Complex
Red Soil,Residential,8.85377826466542,1,0,8083.389794860905,208.18570852645462,4256.3619345105235,3,1,2,75.29541292224637,20,85.24370289222429,45,61.914320245842305,38.085679754157695,Individual House
Clayey,Industrial,8.114405655765692,0,1,13913.841482322152,1034.5330209934366,1970.5728809273025,0,1,2,69.38285620460462,30,86.47599057372385,45,61.65299731504258,38.34700268495742,Factory
Rocky,Industrial,11.62079822280436,0,0,14546.217495630995,718.5404384636007,3548.4116152865563,2,1,0,51.09480044429891,55,80.63200296199273,85,67.5411808960028,32.4588191039972,Factory
Sandy,Industrial,36.94227209879319,0,1,18771.5033465412,452.63633587534616,738.7428920705713,1,1,1,24.38110966419236,25,38.42954650201135,45,33.14077500797016,66.85922499202984,Factory
Red Soil,Commercial,56.08198816630208,1,1,2232.5991188670378,701.7485090576135,3779.1906268833736,4,1,2,45.979502958424476,20,6.530019722829863,10,23.225330966156033,76.77466903384396,Shopping Complex
Black Cotton,Commercial,32.32088854032915,0,1,4653.542741390516,314.44483192701927,2744.9132451243468,0,2,1,81.05308794929655,40,46.13185243278475,45,57.15154389044998,42.84845610955002,Shopping Complex
Black Cotton,Agricultural,51.36200153509084,1,1,2301.9937643427747,1387.6299487292108,1343.0581995523044,2,0,3,52.02066360727338,40,14.396664108181938,10,30.306398289591165,69.69360171040884,Individual House
Loamy,Agricultural,29.52376409228943,0,1,17491.8847333861,80.95894882636951,2472.519819794525,3,1,1,79.76152204734548,15,50.79372651285095,45,54.11496434478366,45.88503565521634,Individual House
Loamy,Industrial,43.97209501723039,1,1,16059.156040637803,1298.1255529441805,3484.7181291985175,3,1,2,51.0069762456924,15,26.713174971282683,10,29.28073542881301,70.71926457118698,Factory
Clayey,Industrial,45.25300055075755,1,0,11918.199341814941,767.0381831000265,59.432044236918394,4,1,1,21.875390747048982,30,24.57833241540409,45,29.550969865318166,70.44903013468183,Factory
Red Soil,Commercial,14.568003824683625,1,0,2589.6047909724803,928.4197442082259,3187.3352940706473,4,2,2,56.357999043829096,20,75.7199936255273,45,52.905298071722,47.094701928278,Shopping Complex
Red Soil,Agricultural,24.866883243669648,0,1,6192.934814420672,453.9084313630557,2707.953891366372,4,2,2,56.54877330729924,20,58.55519459388392,45,48.68086930602571,51.31913069397429,Individual House
Rocky,Industrial,40.051618609591316,1,1,6656.677113111821,1450.046425191482,1101.430838733663,0,1,3,26.01571212227543,55,33.2473023173478,10,28.167324822133352,71.83267517786665,Factory
Rocky,Agricultural,8.88831345014014,1,0,11654.120724292925,422.77643777923475,3764.9053698809835,4,1,2,56.41133537071088,55,85.18614424976643,45,60.54050344219041,39.45949655780959,Individual House
Rocky,Agricultural,24.88471032696261,0,0,5902.833986697594,883.3169957104565,1517.3049231660057,0,1,3,38.124920881579456,55,58.52548278839565,85,57.47509300565172,42.52490699434828,Individual House
Loamy,Industrial,34.41397064546558,0,1,2386.237414346142,1490.1250576606933,1384.304657732824,1,1,0,41.08260049329008,15,42.64338225755736,45,38.53975573704086,61.46024426295914,Factory
Red Soil,Commercial,59.79234711745513,1,1,14884.483735212689,1321.6415945751687,2356.0917449966137,2,1,2,45.051913220636216,20,0.34608813757478174,10,21.35469166161637,78.64530833838363,Shopping Complex
Red Soil,Industrial,31.09934594423424,0,0,6682.524021452815,804.4947379291591,3380.7483921118237,3,2,3,52.22516351394144,20,48.1677567596096,85,54.5707464197819,45.4292535802181,Factory
Black Cotton,Industrial,49.883121641287794,0,1,9595.109363442712,1485.561784450818,4644.2298793812715,0,1,3,65.52921958967805,40,16.861463931187018,45,44.40059283918407,55.59940716081593,Factory
Loamy,Agricultural,28.763700678663977,0,0,3425.6660646638015,1052.054792598922,706.7862156605198,2,1,2,28.9447991435444,15,52.060498868893376,85,46.645804417463886,53.354195582536114,Individual House
Sandy,Industrial,48.80148974408399,1,1,16248.417764497013,313.050624212714,1982.3406037586683,4,1,1,54.663402186389526,25,18.664183759860023,10,30.04823670520134,69.95176329479867,Factory
Loamy,Commercial,37.747814089105965,0,0,11745.105661557094,608.3943156537096,334.94796256314964,3,2,3,19.2620057289865,15,37.086976518156725,85,39.51344613468446,60.48655386531554,Shopping Complex
Sandy,Industrial,53.76274928263191,1,1,18130.126897987393,501.7400010173265,3792.7537373587124,0,1,0,42.55931267934202,25,10.395417862280155,10,23.744613903339747,76.25538609666026,Factory
Black Cotton,Commercial,27.601840379256046,0,1,10413.959698241333,516.0205624067837,2238.664448406804,4,2,1,71.09953990518599,40,53.99693270123993,45,55.63407214212508,44.36592785787492,Shopping Complex
Clayey,Commercial,38.236743090181335,0,1,18887.087764539716,1140.6846590397995,3534.6456759409257,2,0,1,62.440814227454666,30,36.27209484969778,45,46.67230869203358,53.32769130796642,Hospital/Clinic
Red Soil,Agricultural,39.651027434035505,1,0,17945.495883245192,876.3943909091904,1610.9721198814364,1,2,2,42.30668553911985,20,33.91495427660749,45,37.53607850784382,62.46392149215618,Individual House
Black Cotton,Residential,27.95606179902603,0,1,11952.737272725444,57.13906738429281,4221.586207031617,2,1,3,97.58264050718593,40,53.40656366828995,45,64.75556509458755,35.24443490541245,Individual House
Red Soil,Residential,12.937162402811484,0,0,18743.975324847404,1316.1727254764642,2674.1403912005735,0,2,0,56.76570939929713,20,78.43806266198087,85,63.72751395524921,36.27248604475079,Individual House
Rocky,Agricultural,10.145767380178455,0,0,7138.686198596493,445.1942107202468,4718.0391091182755,1,1,3,54.75190551174058,55,83.09038769970257,85,69.43576385403485,30.564236145965154,Individual House
Clayey,Industrial,5.9169352829798205,0,0,7947.201091380016,1495.6123153697156,394.073195720171,1,2,0,38.40223009365846,30,90.13844119503364,85,61.72539083153887,38.27460916846113,Factory
Clayey,Agricultural,53.044384533486806,1,0,1864.0810748147019,1431.2860955021786,2571.3841227103717,4,2,3,58.7389038666283,30,11.592692444188657,45,39.20678946436706,60.79321053563294,Individual House
Black Cotton,Commercial,18.006120173128203,1,1,12194.817228513208,1410.796075022948,3832.2762299884935,2,0,2,73.49846995671795,40,69.98979971145299,10,51.721914412714526,48.278085587285474,Shopping Complex
Clayey,Residential,16.632871210497242,1,1,14716.555428649734,1216.6914060959605,3000.763240368073,0,2,0,67.8417821973757,30,72.27854798250459,10,48.81426076470764,51.18573923529236,Individual House
Sandy,Agricultural,45.481947023433605,1,1,15696.86461459996,330.9199975253139,115.97070213421378,1,0,2,17.09372743530704,25,24.19675496094399,10,18.281993342593463,81.71800665740653,Individual House
Clayey,Industrial,22.600886219806547,1,0,3846.509434875963,798.949116043173,4861.693391719404,4,0,3,66.34977844504836,30,62.33185630032242,45,54.55538653084753,45.44461346915247,Factory
Red Soil,Agricultural,32.832458082651016,1,1,9439.022373937505,336.4539402374619,1491.318465379492,1,2,0,51.43101837267937,20,45.27923652891498,10,34.82066556266652,65.17933443733348,Individual House
Red Soil,Residential,13.938108591360097,1,0,4360.401029784398,389.51318338342384,1246.3893318319103,2,2,0,48.072468485792754,20,76.76981901439984,45,50.26781872362743,49.73218127637257,Individual House
Red Soil,Agricultural,57.78601468040831,0,0,13580.419628230728,916.427654154416,2428.2993780328975,3,2,3,45.553496329897925,20,3.6899755326528236,85,41.11621759862748,58.88378240137252,Individual House
Red Soil,Agricultural,51.83697700094805,1,0,4000.9810760135942,61.25031802959507,2710.7905376167446,0,0,2,73.36573666798728,20,13.60503833175325,45,43.329267416733856,56.670732583266144,Individual House
Sandy,Residential,52.50842926307518,1,1,18179.109995165425,1454.1878502310615,3831.440687949127,3,1,0,42.8728926842312,25,12.485951228208037,10,24.37700024653293,75.62299975346707,Apartment
Loamy,Commercial,27.372556171460285,1,0,5382.058267566854,1378.0097588669466,1966.3682882949456,2,1,0,54.48422672303384,15,54.37907304756619,45,46.16424761495339,53.83575238504661,Shopping Complex
Rocky,Commercial,46.9298667538945,0,1,6536.643059476652,571.1513582365798,2199.801882311061,3,0,0,42.26753331152638,55,21.783555410175836,45,39.739525511578194,60.260474488421806,Hospital/Clinic
Black Cotton,Residential,12.913188546437908,1,1,17167.220120868995,773.1336720103695,2674.799579669155,2,0,3,74.77170286339052,40,78.47801908927016,10,54.28960077450422,45.71039922549578,Individual House
Red Soil,Agricultural,5.474045142547915,1,1,9710.884592768753,699.1791289016385,1971.9354987082033,2,2,1,58.07019868852709,20,90.8765914290868,10,48.54371739825618,51.45628260174382,Individual House
Clayey,Residential,6.098511291791547,1,0,1455.9229702013874,1323.2996679262046,4572.74039550578,4,2,3,70.47537217705211,30,89.83581451368076,45,62.875333890388426,37.124666109611574,Individual House
Red Soil,Commercial,37.26309555725082,0,1,10397.138772850269,1032.9028144741665,4256.259833171261,3,1,2,50.68422611068729,20,37.8948407379153,45,41.463189323219375,58.536810676780625,Shopping Complex
Clayey,Industrial,30.046719788636743,1,0,2606.3233722223376,417.16687113653467,2274.8684753893917,1,1,1,69.45830778464874,30,49.92213368560543,45,52.540941146028416,47.459058853971584,Factory
Rocky,Agricultural,33.490844189968584,0,0,19721.5496550589,670.2618816979453,0.9743116865856827,2,1,0,5.646775186239568,55,44.18192635005236,85,42.521852902696935,57.478147097303065,Individual House
Rocky,Commercial,5.410472722947067,0,0,12174.119838656445,643.4489635301456,4504.672477646403,3,2,0,52.64738181926323,55,90.98254546175488,85,70.67222000218085,29.32777999781915,Shopping Complex
Rocky,Agricultural,28.247764081158415,0,0,5874.119734608591,1439.002752425878,621.6828671973262,1,2,1,19.37171632365692,55,52.92039319806931,85,49.51019901279725,50.48980098720275,Individual House
Clayey,Residential,44.49374886604735,0,1,11710.635911404737,262.9663657719595,1222.562075970231,0,0,0,59.54982235657521,30,25.84375188992108,45,43.05337579728159,56.94662420271841,School
Red Soil,Industrial,29.34815360820897,1,1,2460.474964253342,134.36450594164356,761.806421826991,1,2,0,49.83721967798897,20,51.08641065298505,10,35.7146295505424,64.2853704494576,Factory
Rocky,Residential,45.272056347172224,0,1,16197.934781107524,1320.9282482425353,899.0778499051189,3,1,3,20.663542911309325,55,24.546572754712955,45,32.8688832076365,67.1311167923635,Individual House
Sandy,Industrial,17.816043041825914,0,1,18581.23302341911,1345.0289842588063,4014.3876894491736,3,0,3,51.54598923954352,25,70.30659493029015,45,50.61774496641277,49.38225503358723,Factory
Clayey,Agricultural,49.7228102464949,1,0,17614.44337591703,1307.6086318682471,2897.507208329621,1,2,2,59.569297438376275,30,17.128649589175154,45,40.88141650072548,59.11858349927452,Individual House
Clayey,Agricultural,37.36371822493987,0,0,7493.394443672692,766.4653734383345,4780.475815626743,1,1,0,62.65907044376503,30,37.72713629176688,85,57.11245872825948,42.88754127174052,Individual House
Red Soil,Residential,16.591970468644842,0,0,7189.594273224001,989.6166424041907,1157.2675616185822,2,2,2,38.99735861521044,20,72.34671588559192,85,55.98575448672163,44.01424551327837,Individual House
Clayey,Industrial,18.01962617196081,0,0,1666.6646131097,845.0445713414758,2428.17454065617,3,0,2,67.4950934570098,30,69.96728971339866,85,66.8651051383031,33.13489486169691,Factory
Clayey,Industrial,39.54167555132454,0,1,13376.606815317418,104.17173908160137,4887.1418454123495,2,2,1,85.86427676727278,30,34.097207414459106,45,54.32679872216025,45.67320127783975,Factory
Rocky,Agricultural,50.64667762668439,0,1,11163.190899606103,893.7523453510837,4132.217571373849,2,1,1,41.338330593328905,55,15.588870622192687,45,37.86563336321329,62.13436663678671,Individual House
Red Soil,Residential,27.859528011603533,0,0,9727.581055219485,20.421220884151325,3643.078395602455,0,0,0,81.80984474405004,20,53.567453313994115,85,66.27530898891604,33.72469101108396,School
Rocky,Industrial,19.206523602017572,1,0,18244.98811335943,487.48111433562923,944.8760068539597,3,1,1,28.84702237643705,55,67.98912732997071,45,46.593739664245646,53.406260335754354,Factory
Rocky,Agricultural,52.68563838008302,1,0,4189.69912057408,1398.4388638097505,3847.0270045485804,2,0,2,40.828590404979245,55,12.190602699861628,45,36.837657316708146,63.162342683291854,Individual House
Red Soil,Commercial,41.80975604629592,1,0,1183.6590671134643,456.0679044537114,1737.8256129795889,0,2,3,46.93999898079511,20,30.317073256173472,45,38.25826795732166,61.74173204267834,Shopping Complex
Black Cotton,Residential,29.64470180056921,1,1,2393.012590294543,1409.7399639663718,2652.684485233788,2,2,1,70.58882454985769,40,50.59216366571799,10,45.85412950887969,54.14587049112031,Individual House
Rocky,Commercial,31.8345107403616,0,0,5244.057318720009,375.2009357238664,3045.8060651977007,2,1,2,53.52931617147762,55,46.94248209939733,85,59.9708811848665,40.0291188151335,Shopping Complex
Sandy,Residential,16.234105736501803,0,1,1632.425436005682,471.8433606922987,3046.8185576212704,3,2,1,53.63087192433663,25,72.94315710583032,45,52.006594449975395,47.993405550024605,Individual House
Sandy,Agricultural,39.47414465356642,0,1,10554.030502219573,942.6112446578303,3632.617359567582,1,0,0,46.1314638366084,25,34.20975891072263,45,39.698452070493595,60.301547929506405,Individual House
Clayey,Industrial,24.730838079858874,1,0,6967.718649437983,1142.4404591839423,3308.510463211028,1,2,1,65.81729048003528,30,58.78193653356855,45,53.48153580140448,46.51846419859552,Factory
Sandy,Industrial,59.76048471708921,1,0,4429.17715329452,752.081652007326,341.85439655294914,3,2,3,7.89696675178668,25,0.3991921381846453,45,17.8637363976715,82.1362636023285,Factory
Clayey,Industrial,31.410093339403833,0,1,15251.597424024581,1323.1735307912331,2286.735129745536,1,2,0,64.14747666514904,30,47.64984443432695,45,50.1140779413839,49.8859220586161,Factory
Black Cotton,Residential,31.723708340428725,0,1,4884.575198418071,60.36063241592887,3320.1080335998963,4,2,1,96.44743496993708,40,47.12715276595213,45,62.78839043096601,37.21160956903399,Individual House
Red Soil,Agricultural,36.12184830758696,1,0,14064.496918882072,1383.292257951556,1479.9649108286433,1,2,3,40.56883613967612,20,39.79691948735506,45,38.39832252072541,61.60167747927459,Individual House
Red Soil,Commercial,55.42158017153107,1,1,7636.033211105139,294.46169984311206,1565.2834360819484,2,2,2,49.782571688169476,20,7.630699714114883,10,24.831575019388037,75.16842498061196,Shopping Complex
Red Soil,Agricultural,49.04499549228626,1,0,10724.727452588537,1326.3581176269838,622.8377387730777,2,2,1,20.19550590238999,20,18.25834084618957,45,25.883012277383887,74.11698772261612,Individual House
Sandy,Commercial,29.81215383888128,1,0,18743.473757175077,601.2947692295708,2093.0749298742767,0,2,1,48.54696154027968,25,50.31307693519787,45,44.56970577289735,55.43029422710265,Shopping Complex
Black Cotton,Residential,44.52845962850378,0,1,1709.6810615004438,1249.1355838065565,4934.152171530874,3,1,2,66.86788509287405,40,25.78590061916036,45,47.10023493729601,52.89976506270399,Individual House
Sandy,Residential,37.24295243294189,1,1,10505.025642071776,1007.4983247055426,1426.5968064401868,0,1,2,35.221198020568266,25,37.92841261176352,10,28.059522460139775,71.94047753986023,School
Sandy,Commercial,32.08018767856869,1,0,17234.036246224747,263.91244871739315,2657.1844634304903,2,2,1,62.145206157314234,25,46.53302053571885,45,48.384077288989694,51.615922711010306,Shopping Complex
Black Cotton,Commercial,15.577367503139278,0,0,12171.510719036622,1377.0713548221727,3716.1862638954217,2,1,3,74.10565812421518,40,74.0377208281012,85,71.69641055050062,28.303589449499384,Shopping Complex
Black Cotton,Commercial,30.516494490019,0,1,6260.539822337976,368.2760857326895,67.48635442135331,0,2,2,39.624038321960946,40,49.13917584996833,45,43.40320737517841,56.59679262482159,Shopping Complex
Black Cotton,Agricultural,18.520022286241606,0,1,8555.941567755654,366.2101780424986,4502.197797991495,4,2,2,81.39738374588968,40,69.13329618959733,45,63.02240835846072,36.97759164153928,Individual House
Black Cotton,Commercial,55.31631824184101,1,1,13925.046945842916,1221.2683449560707,1932.7509236246926,1,2,3,62.8259389120336,40,7.806136263598319,10,32.44061268511134,67.55938731488865,Shopping Complex
Red Soil,Residential,23.447374742299083,1,1,17925.425991962256,158.80988335878155,4345.579933554911,4,1,1,74.60956331289833,20,60.92104209616819,10,46.84360768355646,53.15639231644354,Individual House
Loamy,Residential,57.37452079933548,1,0,1780.2611011856202,333.0538595556905,194.73829449739023,4,0,0,21.56790411677251,15,4.375798667774205,45,22.14271610781393,77.85728389218608,Individual House
Loamy,Industrial,34.31804095520911,1,0,2359.2376159171517,755.5163601315935,728.3177593183793,4,2,1,27.98684494756531,15,42.80326507465148,45,33.99621200031073,66.00378799968928,Factory
Black Cotton,Commercial,39.734940827188815,0,0,7175.978948582164,1245.7155430299365,1612.647272387796,4,2,1,60.31921024095872,40,33.77509862135197,85,56.80549823967354,43.19450176032646,Shopping Complex
Loamy,Agricultural,34.86172444691303,0,1,5422.814004312101,221.22596210590123,1727.3088653163936,1,0,0,64.55718846824556,15,41.897125921811615,45,46.569297444338844,53.430702555661156,Individual House
Loamy,Agricultural,12.115933933168549,1,1,6033.686838225714,821.5023517685196,4238.9711151400825,3,1,1,58.97101651670786,15,79.80677677805242,10,45.341549975360856,54.658450024639144,Individual House
Black Cotton,Agricultural,25.670167045436752,1,0,5204.129973891738,1066.8608877044094,56.00557694117603,0,0,1,32.70256977746433,40,57.21638825760541,45,42.999996486513865,57.000003513486135,Individual House
Loamy,Industrial,10.453036175269316,1,1,4720.675928247996,1290.892837073927,3205.5588823483977,4,2,2,59.38674095618267,15,82.57827304121781,10,46.17992759496839,53.82007240503161,Factory
Sandy,Residential,39.26247243008599,0,1,3481.855370516544,1403.3483403033295,656.5621808927513,4,0,3,19.31562551033353,25,34.562545949856684,45,30.401105416080906,69.59889458391909,Individual House
Clayey,Agricultural,29.57808073602414,1,1,18745.12850410952,1176.9598717033987,4116.078253555247,0,2,1,64.60547981599396,30,50.703198773293096,10,42.28771762892116,57.71228237107884,Individual House
Clayey,Residential,47.789173436401526,0,1,3739.5998142169083,979.2425973330029,3892.8663297895614,0,1,0,60.052706640899615,30,20.351377605997456,45,41.85629172581423,58.14370827418577,Individual House
Black Cotton,Industrial,17.12587645496534,1,1,4883.671720545188,650.4301279691488,2499.605137056003,3,1,0,73.71853088625866,40,71.45687257505776,10,52.165703953954974,47.834296046045026,Factory
Red Soil,Commercial,14.05113321361342,0,1,5679.048755634929,168.16523128262943,1063.436127561876,2,1,2,57.666025370876405,20,76.58144464397763,45,53.57847004080115,46.42152995919885,Shopping Complex
Black Cotton,Commercial,27.34827270300723,0,0,18727.28258947799,1064.6057887882819,3172.4769548277814,3,2,1,71.16293182424819,40,54.41954549498795,85,65.76191251223386,34.23808748776614,Shopping Complex
Red Soil,Commercial,55.962196077010965,1,0,15358.56853842061,1489.1059567132304,781.2915882882282,2,1,1,21.635282746511827,20,6.729673204981722,45,23.50476726252457,76.49523273747543,Shopping Complex
Clayey,Agricultural,44.07319982568264,0,0,16004.28917599478,1105.1408920981498,950.1189629632672,1,0,1,39.984079302844684,30,26.544666957195602,85,46.38059449529454,53.61940550470546,Individual House
Black Cotton,Commercial,28.040799363610528,0,0,2990.4069312314627,25.06664060658942,3133.4495111267884,3,1,1,99.485801722702,40,53.26533439398246,85,75.38636420144131,24.61363579855869,Shopping Complex
Rocky,Agricultural,33.44996933648708,1,1,16889.887625297764,744.3899670627582,4956.142230443122,1,2,0,45.63750766587823,55,44.25005110585487,10,37.7856404595211,62.2143595404789,Individual House
Sandy,Industrial,9.631715614740408,0,0,8755.668554530941,921.9699487243557,4455.3041862627315,0,0,0,53.592071096314896,25,83.94714064209933,85,64.74401004423504,35.25598995576496,Factory
Loamy,Industrial,59.15167430068622,1,0,5993.637498035386,1034.5113016542646,2965.536788418385,3,0,2,47.21208142482845,15,1.4138761655229786,45,30.3776975400707,69.6223024599293,Factory
Red Soil,Agricultural,41.65240175822054,0,0,11939.2515868859,1079.5887534010628,2692.6838438371187,0,0,1,49.58689956044486,20,30.579330402965766,85,49.25024744689714,50.74975255310286,Individual House
Rocky,Residential,20.697223765488236,0,0,16621.475210517943,837.162661824786,4991.924400040542,4,0,0,48.82569405862794,55,65.50462705751961,85,62.965149684899686,37.034850315100314,Individual House
Loamy,Commercial,37.21946168183844,0,1,15794.390870423278,335.0404991013604,2736.9857381694683,0,2,1,62.592704633458766,15,37.96756386360261,45,44.899337587611214,55.100662412388786,Shopping Complex
Loamy,Commercial,11.02153013379467,0,1,17909.95216904151,1413.30099221482,2100.5826097972194,4,1,3,59.24461746655133,15,81.63078311034222,45,54.64331189087852,45.35668810912148,Shopping Complex
Black Cotton,Commercial,58.121016784417094,1,0,18634.511534293433,1044.999701495493,4547.777678876707,2,0,3,63.46974580389573,40,3.1316386926381767,45,40.24732070452305,59.75267929547695,Hospital/Clinic
Loamy,Agricultural,14.613174333585127,1,0,5524.319357127241,355.2600553041142,1170.9214793464412,4,1,0,50.44953268528569,15,75.64470944402478,45,50.06851380085618,49.93148619914382,Individual House
Sandy,Industrial,40.64166749303678,1,1,9053.29998921616,483.4827484054093,487.62995148404485,2,1,3,16.583217252097143,25,32.263887511605375,10,20.120097916135343,79.87990208386466,Factory
Rocky,Commercial,18.499995439641175,0,1,1277.9422448963303,1382.8915059455546,3170.4501718091515,4,1,3,49.37500114008971,55,69.16667426726471,45,54.07291896584758,45.92708103415242,Shopping Complex
Loamy,Industrial,44.46587604566947,0,0,17707.11152603614,1331.2277800610036,479.248168843745,4,1,0,20.46849436545753,15,25.89020659055089,85,37.13652467554786,62.86347532445214,Factory
Black Cotton,Commercial,47.72517519821546,1,1,3936.8708780205834,607.7196575371344,1865.7426847648007,1,2,2,63.38355989574216,40,20.45804133630756,10,35.79875629758665,64.20124370241335,Shopping Complex
Sandy,Commercial,42.038085090128796,1,1,17368.02143451119,57.46083298717647,2117.8869279086025,1,0,3,72.04282874823721,25,29.936524849785343,10,38.94912127432936,61.05087872567064,Hospital/Clinic
Clayey,Agricultural,38.79747031403559,1,0,7258.359117745331,72.74605334090728,2737.690335246166,0,0,1,87.93586922103667,30,35.33754947660735,45,55.36194159651467,44.63805840348533,Individual House
Rocky,Residential,54.085800167360645,1,1,7994.538209641626,425.8774363775836,4958.297728739812,1,1,3,44.92590377550483,55,9.856999721065591,10,28.938316251693088,71.0616837483069,Apartment
Loamy,Agricultural,9.324469104436693,0,0,1743.512835193328,943.6833290084992,1104.908616665904,2,0,2,41.7670550572089,15,84.45921815927218,85,59.23327380984116,40.76672619015884,Individual House
Black Cotton,Commercial,23.200312117910734,1,0,7210.697005541072,876.2919530018428,1878.78189253456,1,1,2,69.77555982121352,40,61.332813136815446,45,57.0046492216286,42.9953507783714,Shopping Complex
Clayey,Commercial,18.65581137969653,0,1,17878.909973224017,950.7416804159141,661.2006220532901,0,2,2,40.56005959614167,30,68.90698103383912,45,47.17276611710936,52.82723388289064,Shopping Complex
Clayey,Residential,59.340767913598185,1,1,1485.4006213104788,1075.92445789816,3038.0676301661733,3,0,2,57.16480802160045,30,1.0987201440030248,10,27.28236284356091,72.71763715643908,Individual House
Red Soil,Industrial,26.416437881678043,0,1,8720.22198788778,28.54838038910762,3638.3659115391674,2,1,2,81.68298770623403,20,55.972603530536595,45,56.832196579816056,43.167803420183944,Factory
Sandy,Industrial,45.29369845822193,1,1,1596.5929664420814,157.6283927586643,2410.3841161793944,3,0,3,65.21887181992466,25,24.510502569630106,10,35.204230779381156,64.79576922061884,Factory
Loamy,Commercial,42.659884013455255,1,1,8047.545077072234,539.2251777408189,1229.1563414498553,2,1,3,35.91815582563329,15,28.90019331090791,10,24.546402866698628,75.45359713330137,Shopping Complex
